dataset: wiki150k is 150k sentences from own dataset, wiki1m is 1m sentences from own dataset, simcse is 1m sentences from simcse dataset
mode: unsup simcse or paraphrase
+----------+---------+--------+---------------------------------+-------+-----------+-------+-------+-------+-------+-------+--------------+-----------------+-------+
| dataset  | dropout | epochs |               mode              |   lr  | batchsize | STS12 | STS13 | STS14 | STS15 | STS16 | STSBenchmark | SICKRelatedness |  Avg  |
+----------+---------+--------+---------------------------------+-------+-----------+-------+-------+-------+-------+-------+--------------+-----------------+-------+
|  simcse  |   0.1   |   1    |           unsup simcse          | 3e-05 |     64    | 68.17 | 81.37 | 73.35 |  80.0 | 77.58 |    76.64     |       69.9      | 75.29 |
|  simcse  |   0.1   |   5    |           unsup simcse          | 3e-05 |     64    | 66.14 | 80.71 | 72.49 | 79.89 | 78.58 |    76.77     |      71.74      | 75.19 |
|  wiki1m  |   0.1   |   1    |           unsup simcse          | 3e-05 |     64    | 68.78 | 81.59 | 75.19 | 81.44 | 77.41 |     78.5     |      72.22      | 76.45 |
|  wiki1m  |   0.1   |   5    |           unsup simcse          | 3e-05 |     64    | 65.18 | 78.62 | 70.14 | 79.74 | 77.61 |    75.66     |      70.96      | 73.99 |
| wiki150k |   0.1   |   1    |           unsup simcse          | 3e-05 |     64    | 60.26 | 74.21 | 64.45 | 74.68 | 74.96 |    68.88     |      67.52      | 69.28 |
| wiki150k |   0.1   |   5    |           unsup simcse          | 3e-05 |     64    | 67.25 | 76.85 | 71.98 | 80.26 | 77.35 |    77.39     |      70.61      | 74.53 |
| wiki150k |   0.1   |   5    | paraphrase + mlp for predicting | 3e-05 |     64    | 67.71 | 76.89 | 70.02 | 77.02 | 77.97 |    74.44     |      72.31      | 73.77 |
| wiki150k |   0.1   |   5    |            paraphrase           | 3e-05 |     64    | 70.05 | 77.31 | 70.42 | 76.93 | 77.22 |    75.22     |      71.09      | 74.03 |
| wiki150k |   0.1   |   10   |            paraphrase           | 3e-05 |     64    | 68.71 | 79.71 | 71.12 | 77.71 | 79.27 |    75.97     |      72.03      | 74.93 |
| wiki150k |   0.1   |   15   |            paraphrase           | 3e-05 |     64    | 68.07 | 79.13 | 70.59 | 77.09 | 78.89 |    75.22     |      72.13      | 74.45 |
| wiki150k |   0.1   |   20   |            paraphrase           | 3e-05 |     64    | 69.64 | 79.26 |  71.3 | 77.79 | 79.15 |    76.15     |      72.31      | 75.09 |
| wiki150k |   0.1   |   5    |            paraphrase           | 5e-05 |    256    | 69.57 |  78.1 | 70.08 |  77.5 | 78.54 |    75.07     |      71.82      | 74.38 |
| wiki150k |   0.0   |   5    |            paraphrase           | 5e-05 |    256    | 68.34 | 78.42 | 70.07 | 77.65 | 78.22 |    74.45     |      71.54      |  74.1 |
| wiki150k |   0.0   |   5    |            paraphrase           | 3e-05 |     64    | 69.23 | 78.38 | 71.32 | 78.84 | 78.44 |    75.59     |      71.99      | 74.83 |
| wiki150k |   0.0   |   10   |            paraphrase           | 3e-05 |     64    |  69.5 | 80.41 | 72.18 | 78.76 | 78.88 |    76.41     |      71.77      | 75.42 |
| wiki150k |   0.0   |   15   |            paraphrase           | 3e-05 |     64    | 68.84 |  80.2 | 72.18 | 77.75 | 78.86 |    76.27     |      71.86      | 75.14 |
| wiki150k |   0.0   |   20   |            paraphrase           | 3e-05 |     64    | 68.48 | 80.12 | 71.96 | 77.63 | 78.98 |    75.79     |      71.74      | 74.96 |
+----------+---------+--------+---------------------------------+-------+-----------+-------+-------+-------+-------+-------+--------------+-----------------+-------+
